列表,#genre#
凤凰中文,https://edge2.laotv.la/live/PhxChinese/sc-gaFECQ/a0_index.m3u8
凤凰资讯,https://edge2.laotv.la/live/PhoenixNews/sc-gaFECQ/a0_index.m3u8
CCTV-1 综合,https://shyd.695847.xyz/cms001/ch00000090990000001022/index.m3u8
东方卫视,https://shyd.695847.xyz/cms001/ch00000090990000001013/index.m3u8
北京卫视,https://shyd.695847.xyz/cms001/ch00000090990000001029/index.m3u8
湖南卫视,https://shyd.695847.xyz/cms001/ch00000090990000001026/index.m3u8
陕西卫视,http://112.46.85.12:8009/hls/17/index.m3u8
陕西卫视,http://112.46.105.20:8009/hls/17/index.m3u8
陕西卫视,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
陕西卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001679/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西卫视,http://[2409:8087:7001:20:3::9]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226326/index.m3u8
陕西一套,http://112.46.85.12:8009/hls/18/index.m3u8
陕西一套,http://112.46.105.20:8009/hls/18/index.m3u8
陕西二套,http://112.46.85.12:8009/hls/19/index.m3u8
陕西二套,http://112.46.105.20:8009/hls/19/index.m3u8
陕西三套,http://112.46.105.20:8009/hls/20/index.m3u8
陕西四套,http://112.46.105.20:8009/hls/21/index.m3u8
陕西五套,http://112.46.105.20:8009/hls/22/index.m3u8
陕西六套,http://112.46.105.20:8009/hls/23/index.m3u8
陕西七套,http://112.46.105.20:8009/hls/24/index.m3u8
陕西八套,http://112.46.105.20:8009/hls/62/index.m3u8
陕西新闻资讯,http://219.144.157.62:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
陕西都市青春,http://219.144.157.62:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
陕西银龄频道,http://219.144.157.62:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
陕西秦腔频道,http://shx.sohu.blog/shxtv.php?id=1130
陕西体育休闲,http://shx.sohu.blog/shxtv.php?id=1179
农林卫视,http://112.46.105.20:8009/hls/27/index.m3u8
精彩三秦,http://112.46.105.20:8009/hls/26/index.m3u8
西安一套,http://112.46.85.12:8009/hls/28/index.m3u8
西安一套,http://112.46.105.20:8009/hls/28/index.m3u8
西安二套,http://112.46.85.12:8009/hls/29/index.m3u8
西安二套,http://112.46.105.20:8009/hls/29/index.m3u8
